Date,Open,High,Low,Close,Adj Close,Volume
3/7/2022,2322.26123,2322.26123,2322.26123,2322.26123,2322.26123,0
3/8/2022,2303.421631,2303.421631,2303.421631,2303.421631,2303.421631,0
3/9/2022,2315.024414,2315.024414,2315.024414,2315.024414,2315.024414,0
3/10/2022,2321.030518,2321.030518,2321.030518,2321.030518,2321.030518,0
3/11/2022,2327.745605,2327.745605,2327.745605,2327.745605,2327.745605,0
3/14/2022,2332.0271,2332.0271,2332.0271,2332.0271,2332.0271,0
3/15/2022,2328.022217,2328.022217,2328.022217,2328.022217,2328.022217,0
3/16/2022,2348.502441,2348.502441,2348.502441,2348.502441,2348.502441,0
3/17/2022,2354.617676,2354.617676,2354.617676,2354.617676,2354.617676,0
3/18/2022,2361.168213,2361.168213,2361.168213,2361.168213,2361.168213,0
3/21/2022,2370.932373,2370.932373,2370.932373,2370.932373,2370.932373,0
3/22/2022,2374.809082,2374.809082,2374.809082,2374.809082,2374.809082,0
3/23/2022,2367.528076,2367.528076,2367.528076,2367.528076,2367.528076,0
3/24/2022,2365.347168,2365.347168,2365.347168,2365.347168,2365.347168,0
3/25/2022,2374.559814,2374.559814,2374.559814,2374.559814,2374.559814,0
3/28/2022,2380.049805,2380.049805,2380.049805,2380.049805,2380.049805,0
3/29/2022,2391.719238,2391.719238,2391.719238,2391.719238,2391.719238,0
3/30/2022,2394.810791,2394.810791,2394.810791,2394.810791,2394.810791,0
3/31/2022,2392.115967,2392.115967,2392.115967,2392.115967,2392.115967,0
4/1/2022,2385.78833,2385.78833,2385.78833,2385.78833,2385.78833,0
4/4/2022,2385.345215,2385.345215,2385.345215,2385.345215,2385.345215,0
4/5/2022,2393.475586,2393.475586,2393.475586,2393.475586,2393.475586,0
4/6/2022,2379.172363,2379.172363,2379.172363,2379.172363,2379.172363,0
4/7/2022,2383.971191,2383.971191,2383.971191,2383.971191,2383.971191,0
4/8/2022,2395.194092,2395.194092,2395.194092,2395.194092,2395.194092,0
4/11/2022,2400.968018,2400.968018,2400.968018,2400.968018,2400.968018,0
4/12/2022,2394.772949,2394.772949,2394.772949,2394.772949,2394.772949,0
4/13/2022,2390.492432,2390.492432,2390.492432,2390.492432,2390.492432,0
4/14/2022,null,null,null,null,null,null
4/19/2022,2395.474854,2395.474854,2395.474854,2395.474854,2395.474854,0
4/20/2022,2408.634277,2408.634277,2408.634277,2408.634277,2408.634277,0
4/21/2022,2423.204346,2423.204346,2423.204346,2423.204346,2423.204346,0
4/22/2022,2394.954346,2394.954346,2394.954346,2394.954346,2394.954346,0
4/25/2022,2366.840332,2366.840332,2366.840332,2366.840332,2366.840332,0
4/26/2022,2378.535889,2378.535889,2378.535889,2378.535889,2378.535889,0
4/27/2022,2368.131592,2368.131592,2368.131592,2368.131592,2368.131592,0
4/28/2022,2367.489502,2367.489502,2367.489502,2367.489502,2367.489502,0
4/29/2022,2371.935303,2371.935303,2371.935303,2371.935303,2371.935303,0
5/3/2022,2348.456543,2348.456543,2348.456543,2348.456543,2348.456543,0
5/4/2022,2349.522705,2349.522705,2349.522705,2349.522705,2349.522705,0
5/5/2022,2358.652344,2358.652344,2358.652344,2358.652344,2358.652344,0
5/6/2022,2330.46167,2330.46167,2330.46167,2330.46167,2330.46167,0
5/9/2022,2323.596191,2323.596191,2323.596191,2323.596191,2323.596191,0
5/10/2022,2330.283203,2330.283203,2330.283203,2330.283203,2330.283203,0
5/11/2022,2329.009766,2329.009766,2329.009766,2329.009766,2329.009766,0
5/12/2022,2315.970215,2315.970215,2315.970215,2315.970215,2315.970215,0
5/13/2022,2334.565186,2334.565186,2334.565186,2334.565186,2334.565186,0
5/16/2022,2339.30542,2339.30542,2339.30542,2339.30542,2339.30542,0
5/17/2022,null,null,null,null,null,null
5/18/2022,2339.790527,2339.790527,2339.790527,2339.790527,2339.790527,0
5/19/2022,2302.462646,2302.462646,2302.462646,2302.462646,2302.462646,0
5/20/2022,2323.880127,2323.880127,2323.880127,2323.880127,2323.880127,0
5/23/2022,2330.673096,2330.673096,2330.673096,2330.673096,2330.673096,0
5/24/2022,2330.890625,2330.890625,2330.890625,2330.890625,2330.890625,0
5/25/2022,2338.866943,2338.866943,2338.866943,2338.866943,2338.866943,0
5/26/2022,null,null,null,null,null,null
5/27/2022,2363.55957,2363.55957,2363.55957,2363.55957,2363.55957,0
5/30/2022,null,null,null,null,null,null
5/31/2022,2355.862549,2355.862549,2355.862549,2355.862549,2355.862549,0
6/1/2022,2359.777588,2359.777588,2359.777588,2359.777588,2359.777588,0
6/2/2022,2342.063477,2342.063477,2342.063477,2342.063477,2342.063477,0
6/3/2022,2350.42041,2350.42041,2350.42041,2350.42041,2350.42041,0
6/6/2022,null,null,null,null,null,null
6/7/2022,2345.16626,2345.16626,2345.16626,2345.16626,2345.16626,0
6/8/2022,2347.739746,2347.739746,2347.739746,2347.739746,2347.739746,0
6/9/2022,2340.539063,2340.539063,2340.539063,2340.539063,2340.539063,0
6/10/2022,2300.571533,2300.571533,2300.571533,2300.571533,2300.571533,0
6/13/2022,2269.003906,2269.003906,2269.003906,2269.003906,2269.003906,0
6/14/2022,2263.153809,2263.153809,2263.153809,2263.153809,2263.153809,0
6/15/2022,2265.868652,2265.868652,2265.868652,2265.868652,2265.868652,0
6/16/2022,2234.998779,2234.998779,2234.998779,2234.998779,2234.998779,0
6/17/2022,2242.233643,2242.233643,2242.233643,2242.233643,2242.233643,0
6/20/2022,null,null,null,null,null,null
6/21/2022,2244.599609,2244.599609,2244.599609,2244.599609,2244.599609,0
6/22/2022,2242.457275,2242.457275,2242.457275,2242.457275,2242.457275,0
6/23/2022,2254.400879,2254.400879,2254.400879,2254.400879,2254.400879,0
6/24/2022,2263.507813,2263.507813,2263.507813,2263.507813,2263.507813,0
6/27/2022,2280.66626,2280.66626,2280.66626,2280.66626,2280.66626,0
6/28/2022,2295.674561,2295.674561,2295.674561,2295.674561,2295.674561,0
6/29/2022,2270.608154,2270.608154,2270.608154,2270.608154,2270.608154,0
6/30/2022,2249.624268,2249.624268,2249.624268,2249.624268,2249.624268,0
7/1/2022,2266.781738,2266.781738,2266.781738,2266.781738,2266.781738,0
7/4/2022,null,null,null,null,null,null
7/5/2022,2254.34668,2254.34668,2254.34668,2254.34668,2254.34668,0
7/6/2022,2271.182617,2271.182617,2271.182617,2271.182617,2271.182617,0
7/7/2022,2285.33374,2285.33374,2285.33374,2285.33374,2285.33374,0
7/8/2022,2285.005859,2285.005859,2285.005859,2285.005859,2285.005859,0
7/11/2022,2286.682617,2286.682617,2286.682617,2286.682617,2286.682617,0
7/12/2022,2288.936035,2288.936035,2288.936035,2288.936035,2288.936035,0
7/13/2022,2270.082764,2270.082764,2270.082764,2270.082764,2270.082764,0
7/14/2022,2250.639404,2250.639404,2250.639404,2250.639404,2250.639404,0
7/15/2022,2268.847656,2268.847656,2268.847656,2268.847656,2268.847656,0
7/18/2022,2283.572754,2283.572754,2283.572754,2283.572754,2283.572754,0
7/19/2022,2287.722656,2287.722656,2287.722656,2287.722656,2287.722656,0
7/20/2022,2291.677002,2291.677002,2291.677002,2291.677002,2291.677002,0
7/21/2022,2289.100586,2289.100586,2289.100586,2289.100586,2289.100586,0
7/22/2022,2298.612305,2298.612305,2298.612305,2298.612305,2298.612305,0
7/25/2022,2299.521729,2299.521729,2299.521729,2299.521729,2299.521729,0
7/26/2022,2295.491943,2295.491943,2295.491943,2295.491943,2295.491943,0
7/27/2022,2298.056152,2298.056152,2298.056152,2298.056152,2298.056152,0
7/28/2022,2299.24292,2299.24292,2299.24292,2299.24292,2299.24292,0
7/29/2022,2315.017822,2315.017822,2315.017822,2315.017822,2315.017822,0
8/1/2022,2319.616699,2319.616699,2319.616699,2319.616699,2319.616699,0
8/2/2022,2314.8396,2314.8396,2314.8396,2314.8396,2314.8396,0
8/3/2022,2317.630615,2317.630615,2317.630615,2317.630615,2317.630615,0
8/4/2022,2328.141357,2328.141357,2328.141357,2328.141357,2328.141357,0
8/5/2022,2317.608643,2317.608643,2317.608643,2317.608643,2317.608643,0
8/8/2022,2328.927734,2328.927734,2328.927734,2328.927734,2328.927734,0
8/9/2022,2320.013672,2320.013672,2320.013672,2320.013672,2320.013672,0
8/10/2022,2328.907959,2328.907959,2328.907959,2328.907959,2328.907959,0
8/11/2022,2333.889893,2333.889893,2333.889893,2333.889893,2333.889893,0
8/12/2022,2337.215332,2337.215332,2337.215332,2337.215332,2337.215332,0
8/15/2022,2344.497803,2344.497803,2344.497803,2344.497803,2344.497803,0
8/16/2022,2349.841064,2349.841064,2349.841064,2349.841064,2349.841064,0
8/17/2022,2342.121582,2342.121582,2342.121582,2342.121582,2342.121582,0
8/18/2022,2337.650635,2337.650635,2337.650635,2337.650635,2337.650635,0
8/19/2022,2335.082031,2335.082031,2335.082031,2335.082031,2335.082031,0
8/22/2022,2321.215576,2321.215576,2321.215576,2321.215576,2321.215576,0
8/23/2022,2308.499268,2308.499268,2308.499268,2308.499268,2308.499268,0
8/24/2022,2299.234863,2299.234863,2299.234863,2299.234863,2299.234863,0
8/25/2022,2306.082031,2306.082031,2306.082031,2306.082031,2306.082031,0
8/26/2022,2307.063232,2307.063232,2307.063232,2307.063232,2307.063232,0
8/29/2022,2270.464844,2270.464844,2270.464844,2270.464844,2270.464844,0
8/30/2022,2271.472168,2271.472168,2271.472168,2271.472168,2271.472168,0
8/31/2022,2268.047607,2268.047607,2268.047607,2268.047607,2268.047607,0
9/1/2022,2253.158936,2253.158936,2253.158936,2253.158936,2253.158936,0
9/2/2022,2265.262207,2265.262207,2265.262207,2265.262207,2265.262207,0
9/5/2022,null,null,null,null,null,null
9/6/2022,2246.309326,2246.309326,2246.309326,2246.309326,2246.309326,0
9/7/2022,2242.643311,2242.643311,2242.643311,2242.643311,2242.643311,0
9/8/2022,2250.262695,2250.262695,2250.262695,2250.262695,2250.262695,0
9/9/2022,2270.628662,2270.628662,2270.628662,2270.628662,2270.628662,0
9/12/2022,2294.313232,2294.313232,2294.313232,2294.313232,2294.313232,0
9/13/2022,2282.326172,2282.326172,2282.326172,2282.326172,2282.326172,0
9/14/2022,2259.688721,2259.688721,2259.688721,2259.688721,2259.688721,0
9/15/2022,2258.653564,2258.653564,2258.653564,2258.653564,2258.653564,0
9/16/2022,2239.891113,2239.891113,2239.891113,2239.891113,2239.891113,0
9/19/2022,2234.757813,2234.757813,2234.757813,2234.757813,2234.757813,0
9/20/2022,2228.245117,2228.245117,2228.245117,2228.245117,2228.245117,0
9/21/2022,2233.338623,2233.338623,2233.338623,2233.338623,2233.338623,0
9/22/2022,2207.438721,2207.438721,2207.438721,2207.438721,2207.438721,0
9/23/2022,2187.189453,2187.189453,2187.189453,2187.189453,2187.189453,0
9/26/2022,2178.967285,2178.967285,2178.967285,2178.967285,2178.967285,0
9/27/2022,2179.404785,2179.404785,2179.404785,2179.404785,2179.404785,0
9/28/2022,2162.101318,2162.101318,2162.101318,2162.101318,2162.101318,0
